"12f4 -- 6. Buildings and dwellings, 2010-2024"

"Postal code area","2020 Dwellings in blocks of flats (RA)","2021 Dwellings in blocks of flats (RA)","2022 Dwellings in blocks of flats (RA)","2023 Dwellings in blocks of flats (RA)","2024 Dwellings in blocks of flats (RA)"
"62880  Sääksvesi-Vinni (Vimpeli)",0,0,0,0,0
"62900  Alajärvi Keskus (Alajärvi)",278,272,267,271,273
"62920  Levijoki (Alajärvi)",0,0,0,0,0
"62940  Hoisko (Alajärvi)",5,5,5,5,5
"62950  Paalijärvi (Alajärvi)",0,0,0,0,0
"62990  Möksy (Alajärvi)",2,2,2,2,2
"63100  Kuortane Keskus (Kuortane)",86,86,83,79,72
"63120  Leppälänkylä (Kuortane)",3,3,3,3,3
"63130  Mäyry (Kuortane)",2,2,2,2,2
"63150  Ruona (Kuortane)",6,6,6,6,6
"63160  Salmi (Kuortane)",0,0,0,0,0
"63210  Niinimaa (Alavus)",0,0,0,0,0
"63230  Lentilä (Kuortane)",1,1,1,1,1
"63250  Rantala (Kuortane)",0,0,0,0,0
"63300  Alavus Keskus (Alavus)",505,507,506,507,509
"63320  Kattelus (Alavus)",0,0,0,0,0
"63330  Pahajoki (Alavus)",0,0,0,0,0
"63340  Sapsalampi (Alavus)",0,0,0,0,0
"63350  Sulkavankylä (Alavus)",0,0,0,0,0
"63355  Seinäjärvi (Alavus)",0,0,0,0,0
"63360  Kuivaskylä (Alavus)",0,0,0,0,0
"63370  Taipalus (Alavus)",0,0,0,0,0
"63400  Alavus Asemanseutu (Alavus)",62,57,56,57,57
"63410  Rantatöysä (Alavus)",1,1,1,1,1
"63430  Kätkänjoki (Alavus)",0,0,0,0,0
"63450  Löyä (Kuortane)",0,0,0,0,0
"63500  Lehtimäki Keskus (Alajärvi)",16,16,16,8,8
"63510  Lehtimäki Kirkonkylä (Alajärvi)",0,0,0,0,0
"63530  Länsikylä (Alajärvi)",0,0,0,0,0
"63540  Hernesmaa (Alajärvi)",0,0,0,0,0
"63600  Töysä Keskus (Alavus)",51,51,49,49,51
"63610  Tuuri (Alavus)",0,0,0,0,0
"63640  Ritola (Alavus)",2,2,2,2,2
"63660  Ähtärinranta (Ähtäri)",4,4,4,4,4
"63680  Hakojärvi (Alavus)",3,3,3,3,3
"63700  Ähtäri Keskus (Ähtäri)",344,344,338,342,345
"63770  Peränne (Ähtäri)",0,0,0,0,0
"63780  Alastaipale (Ähtäri)",0,0,0,0,0
"63800  Soini Keskus (Soini)",0,0,0,0,0
"63830  Keisala (Soini)",0,0,0,0,0
"63880  Kukonkylä (Soini)",0,0,0,0,0
"63890  Hautakylä (Soini)",0,0,0,0,0
"63900  Myllymäki-Vehunkylä (Ähtäri)",1,1,1,0,0
"63910  Inhan Tehtaat (Ähtäri)",7,7,7,7,7
"63920  Inha (Ähtäri)",24,24,24,24,24
"63950  Vehunkylä (Ähtäri)",0,0,0,0,0
"64100  Kristiinankaupunki keskus (Kristinestad)",316,318,309,316,324
"64140  Tiukka (Kristinestad)",0,0,0,0,0
"64200  Närpiö Keskus (Närpes)",623,620,641,636,644
"64210  Kalax (Närpes)",0,0,0,0,0
"64220  Yttermark (Närpes)",13,13,12,13,9
"64230  Närpiön Asemanseutu (Närpes)",7,9,11,11,11
"64240  Böle (Närpes)",0,0,0,0,0
"64250  Pjelax (Närpes)",5,5,4,4,5
"64260  Kaskinen (Kaskinen)",313,313,306,303,312
"64300  Lapväärtti (Kristinestad)",60,61,61,60,60
"64320  Dagsmark (Kristinestad)",0,0,0,0,0
"64350  Karijoki Keskus (Karijoki)",7,7,6,6,7
"64370  Myrkky (Karijoki)",3,3,3,3,3
"64440  Metsälä-Kallträsk (Kristinestad)",0,0,0,0,0
"64450  Kallträsk (Kristinestad)",0,0,0,0,0
"64460  Härkmeri (Kristinestad)",0,0,0,0,0
"64480  Skaftung (Kristinestad)",0,0,0,0,0
"64490  Siipyy (Kristinestad)",6,6,6,5,5
"64510  Nämpnäs (Närpes)",0,0,0,0,0
"64530  Norrnäs (Närpes)",0,0,0,0,0
"64550  Rangsby (Närpes)",3,3,3,3,3
"64610  Övermark (Närpes)",23,23,23,23,23
"64700  Teuva Keskus (Teuva)",61,61,61,66,76
"64720  Perälä (Teuva)",0,0,0,0,0
"64740  Horo (Teuva)",0,0,0,0,0
"64760  Peltola (Teuva)",0,0,0,0,0
"64770  Äystö (Teuva)",0,0,0,0,0
"64810  Vanhakylä (Isojoki)",0,0,0,0,0
"64820  Kärjenkoski (Isojoki)",0,0,0,0,0
"64830  Villamo (Isojoki)",0,0,0,0,0
"64840  Heikkilänjoki (Isojoki)",0,0,0,0,0
"64850  Möykky (Isojoki)",0,0,0,0,0
"64900  Isojoki Keskus (Isojoki)",26,31,31,31,31
"64930  Kodesjärvi (Isojoki)",0,0,0,0,0
"65100  Vaasa Keskus (Vaasa)",14160,14343,14545,14739,14842
"65130  Hietalahti (Vaasa)",0,0,0,0,0
"65170  Vaskiluoto (Vaasa)",140,125,105,66,69
"65200  Palosaari (Vaasa)",3893,3920,3901,3958,3998
"65230  Vetokannas (Vaasa)",1120,1122,1119,1120,1131
"65280  Gerby (Vaasa)",510,510,510,510,510
"65300  Asevelikylä (Vaasa)",305,306,307,308,316
"65320  Huutoniemi (Vaasa)",1424,1455,1447,1426,1442
"65350  Suvilahti (Vaasa)",1898,1871,1867,1871,1881
"65370  Ristinummi (Vaasa)",1655,1664,1646,1660,1664
"65380  Vanha Vaasa (Vaasa)",849,854,842,845,849
"65410  Sundom (Vaasa)",9,9,9,9,9
"65450  Sulva (Korsholm)",16,16,16,16,24
"65460  Tölby-Rimal (Korsholm)",0,0,0,0,0
"65470  Rimal (Korsholm)",0,0,0,0,0
"65480  Vikby (Korsholm)",0,0,0,0,0
"65520  Helsingby (Korsholm)",1,1,1,1,1
"65610  Mustasaari Keskus (Korsholm)",757,773,808,826,851
"65630  Karperö (Korsholm)",6,6,6,6,6
"65650  Koskö (Korsholm)",0,0,0,0,0
"65710  Singsby (Korsholm)",0,0,0,0,0
"65730  Jungsund (Korsholm)",0,0,0,0,0
"65760  Iskmo (Korsholm)",0,0,0,0,0
"65800  Raippaluoto (Korsholm)",0,0,0,0,0
"65870  Björköby (Korsholm)",3,3,3,3,3
"65920  Norra Vallgrund-Söderudden (Korsholm)",0,0,0,0,0
"65930  Södra Vallgrund (Korsholm)",0,0,0,0,0
"65970  Söderudden (Korsholm)",0,0,0,0,0
"66100  Maalahti (Malax)",78,76,77,62,62
"66140  Övermalax (Malax)",27,26,26,25,24
"66160  Långåminne (Malax)",0,0,0,0,0
"66200  Korsnäs Keskus (Korsnäs)",12,12,12,12,13
"66210  Moikipää (Korsnäs)",4,4,4,4,4
"66220  Bergö (Malax)",0,0,0,0,0
"66230  Korsbäck (Korsnäs)",0,0,0,0,0
"66240  Petolahti (Malax)",5,2,3,2,3
"66260  Svarvar (Malax)",0,0,0,0,0
"66270  Pirttikylä-Sorvari (Närpes)",20,16,19,21,19
"66280  Taklax (Korsnäs)",0,0,0,0,0
"66290  Harrström (Korsnäs)",2,2,2,2,2
"66295  Töjby (Närpes)",0,0,0,0,0
"66300  Jurva Keskus (Kurikka)",120,123,117,120,122
"66320  Niemenkylä (Kurikka)",2,2,2,2,2
"66330  Hakko (Kurikka)",0,0,0,0,0
"66340  Sarvijoki (Kurikka)",0,0,0,0,0
"66350  Tainus (Kurikka)",0,0,0,0,0
"66360  Kesti (Kurikka)",1,1,1,1,1
"66370  Närvijoki (Kurikka)",0,0,0,0,0
"66400  Laihia Keskus (Laihia)",489,492,493,493,492
"66420  Ruto (Laihia)",3,3,3,3,3
"66430  Vedenoja (Vaasa)",2,2,2,2,2
"66440  Tervajoki (Isokyrö)",0,0,0,0,0
"66450  Jakkula (Laihia)",13,13,13,13,13
"66460  Haapala (Laihia)",0,0,0,0,0
"66470  Jukaja-Jokisalo (Laihia)",0,0,1,1,1
"66500  Vähäkyrö Keskus (Vaasa)",110,110,110,111,111
"66510  Merikaarto (Vaasa)",10,10,10,10,10
"66520  Veikkaala (Korsholm)",2,4,3,2,4
"66530  Koivulahti (Korsholm)",59,60,60,58,58
"66540  Petsmo (Korsholm)",0,0,0,0,0
"66550  Västerhankmo (Korsholm)",0,0,0,0,0
"66560  Österhankmo (Korsholm)",0,0,0,0,0
"66580  Kuni (Korsholm)",0,0,0,0,0
"66590  Vassor (Korsholm)",4,4,4,4,4
"66600  Vöyri Keskus (Vörå)",109,108,95,102,106
"66640  Maksamaa (Vörå)",14,8,8,8,19
"66660  Bertby (Vörå)",0,0,0,0,0
"66680  Kaurajärvi (Vörå)",0,0,0,0,0
"66710  Kaitsor (Vörå)",17,17,18,18,18
"66730  Oxkangar (Vörå)",0,0,0,0,0
"66800  Oravainen Keskus (Vörå)",118,118,113,116,117
"66810  Kimo (Vörå)",6,6,6,6,2
"66820  Komossa (Vörå)",2,2,2,2,2
"66830  Oravaisten Tehdas (Vörå)",42,40,36,39,41
"66840  Pensala (Nykarleby)",0,0,0,0,0
"66850  Jepua (Nykarleby)",13,19,19,19,19
"66900  Uusikaarlepyy Keskus (Nykarleby)",651,649,644,657,659
"66910  Soklot (Nykarleby)",0,0,0,0,0
"66930  Kovjoki (Nykarleby)",0,0,0,0,0
"66950  Munsala (Nykarleby)",19,19,19,20,16
"66970  Hirvlax (Nykarleby)",0,0,0,0,0
"66980  Monå (Nykarleby)",0,0,0,0,0
"66999  Kaukaluoto (Korsholm)",0,0,0,0,0
"67100  Kokkola Keskus (Kokkola)",4615,4677,4782,4820,4846
"67200  Kiviniitty-Tullimäki (Kokkola)",1849,1913,1908,1964,1982
"67300  Halkokari (Kokkola)",175,175,182,180,183
"67400  Rytimäki (Kokkola)",67,66,67,67,66
"67410  Vitsari (Kokkola)",0,4,4,4,4
"67500  Sokoja (Kokkola)",5,5,5,5,5
"67600  Linnusperä-Kaustari (Kokkola)",0,0,0,0,0
"67700  Kirkonmäki-Isokylä (Kokkola)",161,165,164,162,163
"67800  Koivuhaka (Kokkola)",1117,1114,1100,1096,1113
"67900  Ykspihjala (Kokkola)",20,20,18,19,19
"68100  Himanka Keskus (Kalajoki)",3,3,3,3,3
"68150  Hillilä (Kalajoki)",3,2,2,2,3
"68210  Marinkainen (Kokkola)",0,0,0,0,0
"68220  Karhi (Kokkola)",3,3,3,3,3
"68230  Lohtaja Keskus (Kokkola)",11,11,11,11,11
"68240  Ala-Viirre (Kokkola)",0,0,0,0,0
"68300  Kälviä Keskus (Kokkola)",94,94,94,93,94
"68320  Ruotsalo (Kokkola)",3,3,3,3,3
"68370  Ullava Keskus (Kokkola)",0,0,0,0,0
"68380  Yli-Ullava (Kokkola)",0,0,0,0,0
"68390  Rahkonen (Kokkola)",0,0,0,0,0
"68410  Alaveteli (Kronoby)",16,17,17,18,18
"68500  Kruunupyy Keskus (Kronoby)",128,130,131,131,131
"68530  Lepplax (Pedersöre)",0,0,0,0,0
"68550  Öja (Kokkola)",6,6,6,6,6
"68555  Bosund (Larsmo)",6,6,6,6,6
"68560  Eugmo (Larsmo)",20,20,20,20,20
"68570  Luoto (Larsmo)",76,74,80,84,85
"68580  Furuholmen (Larsmo)",0,0,0,0,0
"68600  Pietarsaari Keskus (Jakobstad)",2552,2569,2555,2557,2674
"68620  Skutnäs-Västermalm (Jakobstad)",1027,1023,1025,1026,1033
"68630  Kyrkostrand (Jakobstad)",66,66,66,66,66
"68660  Östermalm-Björnholmen (Jakobstad)",640,637,633,635,643
"68690  Sundby (Pedersöre)",0,0,0,0,0
"68700  Teerijärvi (Kronoby)",18,19,18,36,36
"68750  Småbönders (Kronoby)",0,0,0,0,0
"68800  Kolppi (Pedersöre)",20,20,20,20,20
"68810  Ytteresse (Pedersöre)",2,2,2,2,2
"68820  Ähtävä (Pedersöre)",46,47,48,49,49
"68830  Bäckby (Pedersöre)",0,0,0,0,0
"68840  Nederlappfors (Pedersöre)",0,0,0,0,0
"68870  Edsevö (Pedersöre)",64,64,63,65,65
"68910  Pännäinen (Pedersöre)",56,56,53,56,56
"68920  Forsby (Pedersöre)",0,0,0,0,0
"68930  Purmo (Pedersöre)",9,9,9,9,11
"68940  Lillby (Pedersöre)",12,12,12,12,12
"68970  Överpurmo (Pedersöre)",0,0,0,0,0
"68999  Rita (Kokkola)",0,0,0,0,0
"69100  Kannus Keskus (Kannus)",289,288,288,268,268
"69150  Eskola (Kannus)",8,8,8,8,8
"69170  Yli-Kannus (Kannus)",0,0,0,0,0
"69300  Toholampi Keskus (Toholampi)",42,42,42,42,43
"69310  Laitala (Toholampi)",0,0,0,0,0
"69330  Määttälä (Toholampi)",0,0,0,0,0
"69340  Purontaka (Toholampi)",0,0,0,0,0
"69410  Sykäräinen (Toholampi)",2,3,3,3,2
"69420  Syri (Lestijärvi)",3,3,3,3,3
"69440  Lestijärvi Keskus (Lestijärvi)",0,0,0,0,0
"69450  Yli-Lesti (Lestijärvi)",0,0,0,0,0
"69510  Halsua Keskus-Marjusaari (Halsua)",0,0,0,0,0
"69550  Kanala (Halsua)",0,0,0,0,0
"69570  Karvonen (Halsua)",4,2,2,2,1
"69600  Kaustinen Keskus (Kaustinen)",127,130,131,129,138
"69660  Köyhäjoki (Kaustinen)",0,0,0,0,0
"69700  Veteli Keskus (Veteli)",15,18,18,18,18
"69730  Tunkkari (Veteli)",0,0,0,0,0
"69750  Sillanpää (Veteli)",0,0,0,0,0
"69820  Räyrinki (Veteli)",14,15,14,14,15
"69830  Pulkkinen (Veteli)",0,0,0,0,0
"69850  Patana (Veteli)",3,1,1,1,1
"69910  Kivikangas (Perho)",0,0,0,0,0
"69920  Oksakoski-Kivikangas (Perho)",0,0,0,0,0
"69950  Perho Keskus-Salamajärvi (Perho)",7,7,7,0,0
"69970  Salamajärvi (Perho)",0,0,0,0,0
"69980  Möttönen (Perho)",0,0,0,0,0
"70100  Kuopio Keskus (Kuopio)",8634,8586,8719,9036,9041
"70110  Etu-Niirala (Kuopio)",3235,3387,3461,3854,3899
"70150  Neulamäki (Kuopio)",2325,2415,2388,2378,2369
"70200  Puijonlaakso (Kuopio)",4309,4650,4827,5166,5182
"70210  Kuopion Keskussairaala-alue (Kuopio)",...,...,...,...,15
"70240  Niuvaniemen Sairaala-alue (Kuopio)",50,49,49,49,49
"70260  Julkula (Kuopio)",283,364,408,408,409
"70280  Länsi-Puijo (Kuopio)",674,675,675,673,675
"70300  Linnanpelto (Kuopio)",571,651,738,737,758
"70340  Inkilänmäki (Kuopio)",1855,1838,1833,1829,1833
"70400  Kettulanlahti (Kuopio)",12,12,14,11,11
"70420  Päiväranta (Kuopio)",650,682,721,759,766
"70460  Saarijärvi (Kuopio)",1922,1921,1917,1918,1922
"70500  Männistö (Kuopio)",4588,4574,4635,4757,4821
"70600  Niirala-Huuhanmäki (Kuopio)",1733,1731,1712,1711,1705
"70620  Haapaniemi (Kuopio)",933,930,944,946,966
"70700  Särkiniemi (Kuopio)",1454,1510,1506,1512,1543
"70780  Jynkkä (Kuopio)",688,699,749,747,753
"70800  Pitkälahti (Kuopio)",315,315,322,320,318
"70820  Litmanen (Kuopio)",3299,3415,3421,3414,3540
"70840  Jynkänmäki (Kuopio)",2172,2265,2464,2475,2512
"70870  Hiltulanlahti (Kuopio)",0,0,0,0,0
"70900  Toivala (Siilinjärvi)",8,8,8,8,8
"70910  Vuorela (Siilinjärvi)",502,502,502,535,620
"70940  Jännevirta (Kuopio)",0,0,0,0,0
"71130  Kortejoki (Kuopio)",3,3,3,3,3
"71150  Vartiala (Kuopio)",0,0,0,0,0
"71160  Riistavesi (Kuopio)",40,40,48,48,48
"71170  Laukka-aho (Tuusniemi)",3,3,3,3,3
"71200  Tuusniemi Keskus (Tuusniemi)",98,98,98,99,99
"71210  Tuusjärvi (Tuusniemi)",0,0,0,0,0
"71240  Paakkila (Tuusniemi)",0,0,0,0,0
"71260  Juurikkamäki (Tuusniemi)",0,0,0,0,0
"71280  Kosula (Tuusniemi)",0,0,0,0,0
"71310  Vehmersalmi Keskus (Kuopio)",31,30,25,25,25
"71330  Räsälä (Kuopio)",0,0,0,0,0
"71360  Litmaniemi (Kuopio)",0,0,0,0,0
"71380  Mustinlahti (Kuopio)",0,0,0,0,0
"71460  Paukarlahti (Leppävirta)",3,3,3,0,0
"71470  Oravikoski (Leppävirta)",84,83,83,79,80
"71480  Kurkimäki (Kuopio)",0,0,0,0,0
"71490  Airaksela (Kuopio)",0,0,0,0,0
"71520  Kaislastenlahti (Kuopio)",0,0,0,0,0
"71570  Syvänniemi (Kuopio)",0,0,0,0,0
"71610  Salonkulma (Kuopio)",...,...,...,...,...
"71640  Talluskylä (Tervo)",0,0,0,0,0
"71650  Hirvilahti-Salonkulma (Kuopio)",0,0,0,0,0
"71660  Leinolanlahti (Kuopio)",3,3,3,3,3
"71670  Kurolanlahti (Kuopio)",0,0,0,0,0
"71680  Pulkonkoski-Saarinen (Kuopio)",0,0,0,0,0
"71690  Varpasmaa (Kuopio)",0,0,0,0,0
"71720  Käärmelahti (Kuopio)",0,0,0,0,0
"71730  Kinnulanlahti (Kuopio)",8,8,8,8,8
"71740  Tavinsalmi (Kuopio)",0,0,0,0,0
"71745  Haatala (Kuopio)",0,0,0,0,0
"71750  Maaninka Keskus (Kuopio)",24,24,16,15,16
"71760  Ahkionlahti-Vianta (Kuopio)",0,0,0,0,0
"71775  Tuovilanlahti-Haatala (Kuopio)",1,1,1,1,1
"71800  Siilinjärvi Keskus (Siilinjärvi)",1526,1508,1589,1591,1594
"71820  Pöljä (Siilinjärvi)",0,0,0,0,0
"71840  Kuuslahti (Siilinjärvi)",3,3,3,3,3
"71850  Leppäkaarre (Siilinjärvi)",175,176,178,177,177
"71870  Harjamäki (Siilinjärvi)",69,69,69,69,66
"71890  Hamula (Siilinjärvi)",0,0,0,0,0
"71910  Alapitkä (Lapinlahti)",0,0,0,0,0
"71920  Pajujärvi (Lapinlahti)",0,0,0,0,0
"71950  Lammasaho (Kuopio)",0,0,0,0,0
"71960  Lukkarila (Lapinlahti)",0,0,0,0,0
"72100  Karttula Keskus (Kuopio)",54,53,52,53,53
"72140  Itä-Karttula-Riuttasenpää (Kuopio)",0,0,0,0,0
"72210  Tervo Keskus-Eliaksela (Tervo)",60,60,60,63,64
"72220  Eliaksela (Tervo)",0,0,0,0,0
"72300  Vesanto Keskus (Vesanto)",66,67,67,69,71
"72310  Niinivesi (Vesanto)",0,0,0,0,0
"72330  Tiitilänkylä (Vesanto)",0,0,0,0,0
"72350  Pienola (Vesanto)",0,0,0,0,0
"72360  Närhilä (Vesanto)",0,0,0,0,0
"72380  Horontaipale (Vesanto)",0,0,0,0,0
"72400  Pielavesi Keskus-Jylänki (Pielavesi)",411,413,413,414,414
"72430  Kumpula (Pielavesi)",0,0,0,0,0
"72490  Saarinen (Kuopio)",0,0,0,0,0
"72510  Jokijärvi (Pielavesi)",0,0,0,0,0
"72530  Säviäntaipale (Pielavesi)",0,0,0,0,0
"72550  Säviä (Pielavesi)",5,5,5,5,5
"72570  Vuorikylä (Pielavesi)",0,0,0,0,0
"72600  Keitele Keskus (Keitele)",131,136,135,133,135
"72630  Kuusela-Rajala (Keitele)",2,2,2,2,2
"72710  Vaaraslahti (Pielavesi)",0,0,0,0,0
"72740  Laukkala (Pielavesi)",0,0,0,0,0
"72810  Jylhänkylä (Pielavesi)",0,0,0,0,0
"72840  Saarela (Pielavesi)",0,0,0,0,0
"72930  Tossavanlahti (Keitele)",0,0,0,0,0
"72950  Porttila (Keitele)",0,0,0,0,0
"72980  Petäjäkylä (Keitele)",0,0,0,0,0
"73100  Lapinlahti Keskus (Lapinlahti)",475,471,462,461,462
"73110  Mäntylahti-Karvasalmi (Lapinlahti)",0,0,0,0,0
"73120  Nerkoo-Horsmanmäki (Lapinlahti)",0,0,0,0,0
"73200  Varpaisjärvi Keskus (Lapinlahti)",0,0,0,0,0
"73230  Syvärinpää (Lapinlahti)",0,0,0,0,0
"73250  Korpijärvi (Lapinlahti)",0,0,0,0,0
"73300  Nilsiä Keskus (Kuopio)",467,462,463,446,446
"73310  Tahkovuori (Kuopio)",0,0,0,0,0
"73320  Reittiö (Kuopio)",0,0,0,0,0
"73350  Haluna (Kuopio)",0,0,0,0,0
"73360  Pajulahti (Kuopio)",0,0,0,0,0
"73410  Pieksänkoski (Kuopio)",0,0,0,0,0
"73460  Muuruvesi (Kuopio)",25,25,25,25,25
"73470  Västinniemi (Kuopio)",0,0,0,0,0
"73500  Juankoski Keskus (Kuopio)",233,229,229,204,204
"73600  Kaavi Keskus (Kaavi)",232,228,228,227,229
"73620  Kortteinen-Rasilampi (Kaavi)",0,0,0,0,0
"73640  Sivakkavaara (Kaavi)",0,0,0,0,0
"73645  Niinivaara-Onnivaara (Kaavi)",0,0,0,0,0
"73670  Luikonlahti (Kaavi)",0,0,0,0,0
"73710  Viitaniemi (Kuopio)",4,4,4,4,4
"73730  Losomäki (Kuopio)",4,4,4,4,4
"73770  Säyneinen-Ala-Siikajärvi (Kuopio)",15,0,0,0,0
"73810  Palonurmi-Aholansaari (Kuopio)",3,3,3,3,3
"73830  Keski-Siikajärvi (Kuopio)",0,0,0,0,0
"73850  Ala-Luosta-Riitasalo (Rautavaara)",0,0,0,0,0
"73900  Rautavaara Keskus (Rautavaara)",89,89,87,88,86
"73970  Riitasalo (Rautavaara)",...,...,...,...,...
"73990  Kangaslahti (Rautavaara)",0,0,0,0,0
"74100  Iisalmi Keskus, Eteläinen (Iisalmi)",2567,2590,2589,2588,2614
"74120  Iisalmi Keskus Pohjoinen (Iisalmi)",1718,1720,1724,1694,1700
"74130  Kihmula (Iisalmi)",928,931,927,929,931
"74140  Ritoniemi (Iisalmi)",0,0,0,0,0
"74150  Laidunmäki (Iisalmi)",0,0,0,0,0
"74160  Koljonvirta (Iisalmi)",0,0,0,0,0
"74170  Soinlahti (Iisalmi)",0,0,0,0,0
"74200  Vieremä Keskus (Vieremä)",99,100,112,115,115
"74230  Salahmi (Vieremä)",0,0,0,0,0
"74240  Marttisenjärvi (Vieremä)",0,0,0,0,0
"74250  Nissilä (Vieremä)",0,0,0,0,0
"74270  Kauppilanmäki (Vieremä)",0,0,0,0,0
"74300  Sonkajärvi Keskus (Sonkajärvi)",171,163,163,165,164
"74340  Sukeva-Kainuunmäki (Sonkajärvi)",5,5,5,5,5
"74345  Kalliosuo (Sonkajärvi)",0,0,0,0,0
"74360  Sonkakoski (Sonkajärvi)",0,0,0,0,0
"74380  Jyrkkä (Sonkajärvi)",0,0,0,0,0
"74390  Laakajärvi (Sotkamo)",0,0,0,0,0
"74420  Hernejärvi (Sonkajärvi)",0,0,0,0,0
"74470  Paloinen (Lapinlahti)",0,0,0,0,0
"74490  Koirakoski (Sonkajärvi)",0,0,0,0,0
"74510  Peltosalmi-Sourunsalo (Iisalmi)",87,87,87,87,87
"74520  Kirmanranta (Iisalmi)",0,0,0,0,0
"74540  Kotikylä (Iisalmi)",0,0,0,0,0
"74550  Pörsänmäki (Iisalmi)",0,0,0,0,0
"74590  Kurenpolvi (Vieremä)",0,0,0,0,0
"74595  Runni (Iisalmi)",0,0,0,0,0
"74610  Honkaranta (Kiuruvesi)",0,0,0,0,0
"74630  Heinäkylä (Kiuruvesi)",0,0,0,0,0
"74640  Sulkavanjärvi (Kiuruvesi)",0,0,0,0,0
"74670  Rapakkojoki (Kiuruvesi)",0,0,0,0,0
"74680  Myllyniemi (Kiuruvesi)",0,0,0,0,0
"74700  Kiuruvesi Keskus (Kiuruvesi)",949,951,926,908,909
"74720  Niemiskylä (Kiuruvesi)",0,0,0,0,0
"74740  Aittojärvi (Kiuruvesi)",3,3,3,3,3
"74770  Kalliokylä (Kiuruvesi)",0,0,0,0,0
"74840  Koppeloharju (Kiuruvesi)",0,0,0,0,0
"74940  Remeskylä-Tihilänkangas (Kiuruvesi)",0,0,0,0,0
"74980  Tihilänkangas (Kiuruvesi)",0,0,0,0,0
"75500  Nurmes Keskus (Nurmes)",792,792,785,778,780
"75530  Porokylä (Nurmes)",442,442,434,435,435
"75650  Savikylä (Nurmes)",1,1,1,1,2
"75680  Ylä-Luosta (Rautavaara)",0,0,0,0,0
"75700  Valtimo Keskus (Nurmes)",145,146,146,146,147
"75710  Karhunpää (Nurmes)",0,0,0,0,0
"75740  Pajukoski (Nurmes)",0,0,0,0,0
"75770  Puukari (Nurmes)",0,0,0,0,0
"75790  Rumo (Nurmes)",0,0,0,0,0
"75840  Ylä-Valtimo (Nurmes)",0,0,0,0,0
"75890  Saramo-Petäiskylä-Mujejärvi (Nurmes)",0,0,0,0,0
"75930  Petäiskylä (Nurmes)",0,0,0,0,0
"75940  Mujejärvi (Nurmes)",...,...,...,...,...
"75970  Kohtavaara (Nurmes)",1,1,1,0,0
"75990  Höljäkkä (Nurmes)",0,0,0,0,0
"76100  Pieksämäki Keskus (Pieksämäki)",2351,2332,2318,2326,2333
"76120  Kontiopuisto (Pieksämäki)",379,379,369,357,347
"76130  Pappilanmäki (Pieksämäki)",65,65,64,64,65
"76150  Länsirinne (Pieksämäki)",1117,1120,1112,1108,1118
"76280  Partaharju (Pieksämäki)",0,0,0,0,0
"76620  Pyhitty (Pieksämäki)",8,8,8,8,8
"76780  Lamminmäki (Pieksämäki)",0,0,0,0,0
"76850  Naarajärvi (Pieksämäki)",212,174,176,172,172
"76940  Nenonpelto (Pieksämäki)",19,19,19,19,19
"77110  Paltanen (Pieksämäki)",0,0,0,0,0
"77120  Venetmäki (Pieksämäki)",0,0,0,0,0
"77140  Huumala (Pieksämäki)",1,2,2,2,2
"77220  Neuvola (Pieksämäki)",0,0,0,0,0
"77240  Halkokumpu (Pieksämäki)",0,0,0,0,0
"77320  Hurskaala (Pieksämäki)",0,0,0,0,0
"77330  Virtasalmi Keskus (Pieksämäki)",12,12,12,12,12
"77350  Montola (Pieksämäki)",4,4,0,0,0
"77380  Kantala (Mikkeli)",0,0,0,0,0
"77430  Siikamäki (Pieksämäki)",0,0,0,0,0
"77460  Maavesi (Joroinen)",0,0,0,0,0
"77480  Savuniemi (Joroinen)",0,0,0,0,0
"77520  Haapakoski-Partaharju (Pieksämäki)",0,1,1,0,1
"77570  Jäppilä Keskus (Pieksämäki)",5,5,5,5,5
"77580  Tihusniemi (Pieksämäki)",0,0,0,0,0
"77600  Suonenjoki Keskus (Suonenjoki)",1356,1378,1372,1348,1368
"77630  Lempyy (Suonenjoki)",0,0,0,0,0
"77690  Suontee (Suonenjoki)",0,0,0,0,0
"77700  Rautalampi Keskus (Rautalampi)",160,158,159,156,157
"77770  Myhinpää (Rautalampi)",0,0,0,0,0
"77800  Iisvesi (Suonenjoki)",45,44,43,44,45
"77910  Vaajasalmi (Rautalampi)",4,4,3,4,4
"77930  Kerkonjoensuu (Rautalampi)",9,9,9,9,9
"77960  Pakarila (Rautalampi)",...,...,...,...,...
"78200  Varkaus Keskus (Varkaus)",3141,3136,3124,3143,3139
"78210  Kuoppakangas (Varkaus)",177,177,178,162,160
"78250  Päiviönsaari (Varkaus)",514,507,507,504,506
"78300  Kommila (Varkaus)",1033,1027,1027,1016,1030
"78310  Puurtila (Varkaus)",37,37,37,37,37
"78400  Luttila (Varkaus)",10,10,10,10,10
"78480  Timola (Leppävirta)",3,3,3,3,3
"78500  Pitkälänniemi-Könönpelto (Varkaus)",31,29,27,24,24
"78610  Kurola (Varkaus)",0,0,0,0,0
"78710  Akonlahti (Varkaus)",0,0,0,0,0
"78850  Käpykangas (Varkaus)",276,276,274,276,276
"78870  Kaura-Aho (Varkaus)",429,432,425,427,406
"78880  Kuvansi (Joroinen)",0,0,0,0,0
"78900  Ruokokoski (Varkaus)",0,0,0,0,0
"79100  Leppävirta Keskus (Leppävirta)",656,646,663,648,631
